word,definition
PORTS,"PORT, to carry, convey [v]"
PORTY,"of the taste of port [adj PORTIER, PORTIEST]"
POSED,"POSE, to assume a fixed position [v]"
POSER,one that poses [n -S]
POSES,"POSE, to assume a fixed position [v]"
POSEY,"adopting poses for effects, also POSY [adj POSIER, POSIEST]"
POSIT,"to place [v -ED, -ING, -S]"
POSTS,"POST, to display in a public place [v]"
POTED,"POTE, to poke, thrust [v]"
POTES,"POTE, to poke, thrust [v]"
POTOO,"a kind of bird, a large South American goatsucker [n -S]"
POTSY,"a children's game, also POTSIE [n POTSIES]"
POTTO,"a nocturnal mammal of the lemur family, found in West Africa [n -S]"
POTTS,"POTT, a size of paper [n]"
POTTY,"crazy [adj POTTIER, POTTIEST] / a chamberpot, esp. a small easily portable one for use by a young child [n POTTIES]"
POUCH,"a pocket, purse [n -ES] / to put in a pocket-like receptacle [v -ED, -ING, -ES]"
POUFS,"POUF, to give a puffed shape to the hair, also POUFF, POUFFE [v]"
POUKE,"a mischievous sprite, also PUCK [n -S]"
POULP,"the octopus, also POLYP, POLYPE, POULPE [n -S]"
POULT,a young domestic fowl [n -S]
POUND,"to strike heavily and repeatedly [v -ED, -ING, -S]"
POURS,"POUR, to cause to flow [v]"
POUTS,"POUT, to protrude the lips in ill humour [v]"
POUTY,"tending to pout [adj POUTIER, POUTIEST]"
POWER,"to equip with mechanical force [v -ED, -ING, -S]"
POXED,"POX, to infect with syphilis [v]"
POXES,"POX, to infect with syphilis [v]"
POYOU,an armadillo [n -S]
PRANG,"to cause to crash [v -ED, -ING, -S]"
PRANK,"to dress gaudily [v -ED, -ING, -S]"
PRASE,a leek-green quartz [n -S]
PRATE,"to talk foolishly or sententiously [v PRATED, PRATING, PRATES]"
PRAWN,"to fish for edible shellfish [v -ED, -ING, -S]"
PRAYS,"PRAY, to intercede or ask earnestly [v]"
PREEN,"to clean and arrange the feathers with the beak [v -ED, -ING, -S]"
PREMS,"PREM, a premature baby, also PREEMIE, PREMIE, PREMY [n]"
PREON,"a hypothetical particle, a possible constituent of a quark [n -S]"
PREOP,a patient prepared for surgery [n -S]
PRESS,"to compress or squeeze [v -ED, -ING, -ES]"
PREVE,"to prove, also PREEVE, PRIEVE [v PREVED, PREVING, PREVES]"
PREYS,"PREY, to exploit or terrorize victims [v]"
PRIAL,"a pair-royal, a throw of three dice all the same, also PAIRIAL, PARIAL [n -S]"
PRICE,"to set a value on [v PRICED, PRICING, PRICES]"
PRICK,"to puncture slightly, also PRICKLE [v -ED, -ING, -S]"
PRICY,"expensive, also PRICEY [adj PRICIER, PRICIEST, PRICILY]"
PRIDE,"to feel self-esteem [v PRIDED, PRIDING, PRIDES]"
PRIED,"PRY, to inquire impertinently into private matters [v]"
PRIER,"one who pries, also PRYER [n -S]"
PRIES,"PRY, to inquire impertinently into private matters [v]"
PRIGS,"PRIG, to filch [v]"
PRILL,"to turn into pellet form e.g. by melting and letting the falling drops solidify [v -ED, -ING, -S]"
PRIME,"in best condition [adj PRIMELY] / to make ready [v PRIMED, PRIMING, PRIMES]"
PRIMP,"to dress or adorn carefully [v -ED, -ING, -S]"
PRIMS,"PRIM, to give a prim expression to [v]"
PRINK,"to dress or adorn in a showy manner [v -ED, -ING, -S]"
PRINT,"to produce by pressed type on a surface [v -ED, -ING, -S]"
PRION,any petrel of a genus feeding on the plankton of the southern oceans [n -S]
PRIOR,"previous [adj PRIORLY] / one in charge of a priory, ranking second to abbot [n -S]"
PRISE,"to raise or force with a lever [v PRISED, PRISING, PRISES]"
PRISS,"to act in a prissy manner [v -ED, -ING, -ES]"
PRIVY,"private [adj PRIVIER, PRIVIEST, PRIVILY] / an outhouse [n PRIVIES]"
PRIZE,"to value highly [v PRIZED, PRIZING, PRIZES]"
PROBE,"to examine thoroughly [v PROBED, PROBING, PROBES]"
PRODS,"PROD, to jab [v]"
PROEM,"an introduction, a prelude, also PROOEMION, PROOEMIUM [n -S]"
PROGS,"PROG, to forage for food [v]"
PROLE,"to prowl, also PROLL, PROUL [v PROLED, PROLING, PROLES]"
PROMS,"PROM, a school or college dance [n]"
PRONG,"to pierce with a pointed object [v -ED, -ING, -S]"
PROOF,"to examine for errors [v -ED, -ING, -S]"
PROPS,"PROP, to hold up [v]"
PRORE,a prow; a ship [n -S]
PROSE,"to write without metrical structure [v PROSED, PROSING, PROSES]"
PROSS,"(colloq.) a prostitute, also PROSSIE, PROSTIE, PROZZIE [n -ES]"
PROSY,"prosaic, tedious [adj PROSIER, PROSIEST, PROSILY]"
PROUD,"having or displaying pride [adj PROUDER, PROUDEST, PROUDLY]"
PROUL,"to prowl, also PROLE, PROLL [v -ED, -ING, -S]"
PROVE,"to establish as certain or true [v PROVED, PROVEN, PROVING, PROVES]"
PROWL,"to move about stealthily [v -ED, -ING, -S]"
PROWS,"PROW, the front part of a ship [n]"
PROXY,a person authorised to act for another [n PROXIES]
PROYN,"to prune, also PROIGN, PROIN, PROINE, PROYNE [v -ED, -ING, -S]"
PRUDE,a prudish person [n -S]
PRUNE,"to trim and shape by cutting back [v PRUNED, PRUNING, PRUNES]"
PRUNT,a moulded glass ornament attached to a larger glass object [n -S]
PRYER,"one who pries, also PRIER [n -S]"
PSALM,"a hymn or religious song [n -S] / to sing psalms [v -ED, -ING, -S]"
PSEUD,"a person pretending to be intellectual, also PSEUDO [n -S]"
PSHAW,"to utter an expression of contempt or disapproval [v -ED, -ING, -S]"
PSION,a particle formed by collision of a positron and an electron [n -S]
PSYCH,"to stimulate to a proper frame of mind [v -ED, -ING, -S]"
PUBCO,a company that operates a chain of pubs [n -S]
PUBES,the lower part of the hypogastric region; the hair which grows there at puberty [n PUBES]
PUBIC,pertaining to the pubis [adj]
PUBIS,a bone of the pelvis [n -ES]
PUCER,"PUCE, dark red [adj]"
PUCES,"PUCE, a dark red colour [n]"
PUCKS,"PUCK, a thick rubber disc used in ice hockey [n]"
PUDGE,"a short, thickset person, also PODGE [n -S]"
PUDGY,"short and fat, also PODGY, PUDSEY, PUDSY [adj PUDGIER, PUDGIEST, PUDGILY]"
PUDIC,pertaining to the pudendum [adj]
PUDSY,"podgy, also PUDSEY [adj PUDSIER, PUDSIEST] / a plump person [n PUDSIES]"
PUDUS,"PUDU, a very small deer, native of the Chilian Andes [n]"
PUERS,"PUER, to tan leather with dog faeces [v]"
PUKED,"PUKE, to vomit [v]"
PUKES,"PUKE, to vomit [v]"
PUKEY,"reminiscent of or resembling vomit, also PUKY [adj PUKIER, PUKIEST]"
PULED,"PULE, to pipe; to whimper or whine [v]"
PULER,one who pules [n -S]
PULES,"PULE, to pipe; to whimper or whine [v]"
PULLI,"PULLUS, a chick or young bird [n]"
PULLS,"PULL, to draw or drag [v]"
PULPS,"PULP, to reduce to a soft, moist mass of matter [v]"
PULPY,"resembling pulp [adj PULPIER, PULPIEST, PULPILY]"
PULSE,"to expand and contract rhythmically, also PULSATE [v PULSED, PULSING, PULSES]"
PUMPS,"PUMP, to propel liquid by a motor [v]"
PUNCH,"to perforate with a type of tool [v -ED, -ING, -ES]"
PUNJI,"a sharpened bamboo stick [n PUNJIS] / to fortify with punji stakes [v -ED, -ING, -ES]"
PUNKS,"PUNK, dry, decayed wood used as tinder [n]"
PUNKY,"like a punk [adj PUNKIER, PUNKIEST]"
PUNNY,"involving a pun [adj PUNNIER, PUNNIEST]"
PUNTS,"PUNT, to propel through water with a pole [v]"
PUNTY,"an iron supporting rod used in glassmaking, also PONTIE, PONTIL, PONTILE, PONTY, PUNTEE [n PUNTIES]"
PUPAL,pertaining to a pupa [adj]
PUPIL,a student under the close supervision of a teacher [n -S]
PURED,"PUR, to utter a low, vibrant sound, also PURR [v]"
PUREE,"to reduce to a thick pulp by cooking and sieving [v PUREED, PUREEING, PUREES]"
PURER,"PURE, free from stain [adj]"
PURGE,"to purify [v PURGED, PURGING, PURGES]"
PURIN,"a white crystalline substance which with oxygen forms uric acid, also PURINE [n -S]"
PURLS,"PURL, to knit with a type of stitch [v]"
PURRS,"PURR, to utter a low, vibrant sound, also PUR [v]"
PURSE,"to pucker, esp. the lips [v PURSED, PURSING, PURSES]"
PURSY,"short of breath [adj PURSIER, PURSIEST, PURSILY]"
PUSES,"PUS, a viscous fluid formed in infected tissue [n]"
PUSHY,"offensively aggressive [adj PUSHIER, PUSHIEST, PUSHILY]"
PUSLE,"to puzzle [v PUSLED, PUSLING, PUSLES]"
PUSSY,"a cat, also POUSSIE [n PUSSIES] / full of pus [adj PUSSIER, PUSSIEST]"
PUTID,decayed; fetid [adj]
PUTON,a hoax or deception [n -S]
PUTTS,"PUTT, to hit with a light stroke in golf [v]"
PUTTY,"to fill with a type of cement [v PUTTIED, PUTTYING, PUTTIES]"
PYGAL,the posterior median plate of a chelonian carapace [n -S]
PYGMY,"a small person, also PIGMY [n PYGMIES]"
PYINS,"PYIN, a protein compound contained in pus [n]"
PYLON,a structure for supporting power-cables [n -S]
PYNED,"PYNE, to yearn intensely, also PINE [v]"
PYNES,"PYNE, to yearn intensely, also PINE [v]"
PYOID,purulent [adj]
PYRAL,of or pertaining to a pyre [adj]
PYRAN,a type of unsaturated heterocyclic compound [n -S]
PYRES,"PYRE, a pile of combustible material [n]"
PYRIC,pertaining to burning [adj]
PYXED,"PYX, to test newly minted coins [v]"
PYXES,"PYX, to test newly minted coins [v]"
PYXIE,"a creeping evergreen shrub having small white or pinkish flowers, native to pine barrens of the eastern United States [n -S]"
QUACK,"to make the sound of a duck [v -ED, -ING, -S]"
QUADS,"QUAD, to space by means of quadrats [v]"
QUAGS,"QUAG, a quagmire [n]"
QUAIL,"to give way in fear [v -ED, -ING, -S]"
QUAKY,"quaking, shaky [adj QUAKIER, QUAKIEST, QUAKILY]"
QUALM,a feeling of doubt [n -S]
QUANT,"to propel with a pole [v -ED, -ING, -S]"
QUARK,a fundamental subatomic particle [n -S]
QUART,"the fourth part of a gallon, or two pints [n -S]"
QUASH,"to set aside or annul [v -ED, -ING, -ES]"
QUATE,"fortune, destiny [n -S]"
QUATS,"QUAT, to beat down or squash [v]"
QUAYS,"QUAY, a wharf for the loading or unloading of vessels [n]"
QUBIT,"in computing, a quantum bit [n -S]"
QUEEN,"a female monarch [n -S] / to make a queen of [v -ED, -ING, -S]"
QUEER,"strange [adj QUEERER, QUEEREST, QUEERLY] / to spoil, to put someone in a difficult position [v -ED, -ING, -S]"
QUELL,"to suppress [v -ED, -ING, -S]"
QUERN,a hand operated stone mill for grinding corn [n -S]
QUERY,"to question [v QUERIED, QUERYING, QUERIES]"
QUEST,"to make a search [v -ED, -ING, -S]"
QUEUE,"to line up for service [v QUEUED, QUEUEING, QUEUES]"
QUICK,"acting or capable of acting with speed [adj QUICKER, QUICKEST, QUICKLY] / a sensitive area of flesh [n -S]"
QUIDS,"QUID, a cut or wad or something chewable [n]"
QUIET,"making little or no noise [adj QUIETER, QUIETEST, QUIETLY] / to cause to be quiet [v -ED, -ING, -S]"
QUILL,"to press small ridges in [v -ED, -ING, -S]"
QUILT,"to stitch together with padding in between [v -ED, -ING, -S]"
QUINO,"a game of chance, also KENO, KEENO, KINO [n -S]"
QUINT,a five-stringed tenor viol [n -S]
QUIPS,"QUIP, to make witty remarks [v]"
QUIRE,"to sing in concert [v QUIRED, QUIRING, QUIRES]"
QUIRK,"to move jerkily [v -ED, -ING, -S]"
QUIRT,"to strike with a horse whip [v -ED, -ING, -S]"
QUIST,"a pigeon, also CUSHAT, QUEEST, QUOIST [n -S]"
QUITE,"to depart from or stop, also QUIT [v QUITED, QUITING, QUITES]"
QUITS,"QUIT, to end one's engagement in or occupation with, also QUIGHT, QUITE, QUYTE [v]"
QUODS,"QUOD, to imprison [v]"
QUOIF,"to put the hair into a kind of close-fitting cap, also COIF [v -ED, -ING, -S]"
QUOIN,"a wedge; a cornerstone [n -S] / to secure or raise by wedging [v -ED, -ING, -S]"
QUOIT,"a heavy flat ring thrown over a pin in a game like horseshoes [n -S] / to play at quoits [v -ED, -ING, -S]"
QUONK,"to make an accidental disturbing noise too close to a microphone [v -ED, -ING, -S]"
QUOTE,"to repeat the words of, also COATE [v QUOTED, QUOTING, QUOTES]"
RABIC,pertaining to rabies [adj]
RABID,"afflicted with rabies [adj RABIDER, RABIDEST, RABIDLY]"
RACED,"RACE, to compete in a contest of speed [v]"
RACER,one that races [n -S]
RACES,"RACE, to compete in a contest of speed [v]"
RACKS,"RACK, to place in a type of frame [v]"
RACON,a type of radar transmitter [n -S]
RADAR,an electronic locating device [n -S]
RADIO,"signalling through space, without connecting wires, by means of electromagnetic waves [n -S] / to transmit by radio [v -ED, -ING, -ES]"
RADON,"a radioactive element, an inert gas [n -S]"
RAFTS,"RAFT, to ride on water on a floating mass [v]"
RAGED,"RAGE, to react with violent anger [v]"
RAGER,one who rages [n -S]
RAGES,"RAGE, to react with violent anger [v]"
RAGGA,"a type of rap music combining reggae and hip-hop, also RAGGAMUFFIN [n -S]"
RAGGS,"RAGG, a rough hard stone, also RAGSTONE [n]"
RAGGY,"tattered [adj RAGGIER, RAGGIEST] / a kind of millet, also RAGI, RAGEE, RAGGEE [n RAGGIES]"
RAHED,"RAH, to cheer on a team or player [v]"
RAIDS,"RAID, to make a sudden assault on [v]"
RAILS,"RAIL, to scold in abusive or insolent language, also RAYLE [v]"
RAINS,"RAIN, to fall in drops of water [v]"
RAINY,"marked by rain [adj RAINIER, RAINIEST, RAINILY]"
RAISE,"to move to a higher position [v RAISED, RAISING, RAISES]"
RAITS,"RAIT, to soak flax, also RET [v]"
RAJES,"RAJ, in India, sovereignty [n]"
RAKED,"RAKE, to gather with a toothed bar on a handle [v]"
RAKER,"in games, a long, fast, low-flying shot [n -S]"
RAKES,"RAKE, to gather with a toothed bar on a handle [v]"
RAKIA,"a kind of fruit brandy produced by distillation of fermented fruit, popular throughout the Balkans, also RAKIJA [n -S]"
RALLY,"to call together for a common purpose, also RALLYE, REALLIE [v RALLIED, RALLYING, RALLIES]"
RAMAL,"of or pertaining to a ramus or branch, also RAMEAL, RAMEOUS [adj]"
RAMET,an independent member of a clone [n -S]
RAMMY,"resembling a male sheep [adj RAMMIER, RAMMIEST] / a row [n RAMMIES]"
RAMPS,"RAMP, to swindle, esp. by the practice of causing large, false increases in the price of shares etc. by dishonest means [v]"
RANCE,"to prop [v RANCED, RANCING, RANCES]"
RANCH,"to work at an establishment for raising livestock [v -ED, -ING, -ES]"
RANDS,"RAND, to rant [v]"
RANDY,"full of sexual desire [adj RANDIER, RANDIEST, RANDILY] / a violent beggar; a coarse virago, also RANDIE [n RANDIES]"
RANGE,"to place in a particular order, also RAUNGE [v RANGED, RANGING, RANGES]"
RANGS,"RANG, a row of long lots along a road [n]"
RANGY,"tall and slender [adj RANGIER, RANGIEST, RANGILY]"
RANID,any of a large family of frogs [n -S]
RANKS,"RANK, to assign to a particular place or grade [v]"
RANTS,"RANT, to declaim bombastically [v]"
RAPED,"RAPE, to take by force; to violate [v]"
RAPER,one who rapes [n -S]
RAPES,"RAPE, to take by force; to violate [v]"
RAPID,"quick [adj RAPIDER, RAPIDEST, RAPIDLY] / a swift-flowing part of a river [n -S]"
RARED,"RARE, to be enthusiastic, as in 'raring to go' [v]"
RAREE,"as in raree show, a street show or carnival [adj]"
RARER,"RARE, not common [adj]"
RARES,"RARE, to be enthusiastic, as in 'raring to go' [v]"
RASED,"RASE, to demolish, also RAZE [v]"
RASER,"one that rases, also RAZER [n -S]"
RASES,"RASE, to demolish, also RAZE [v]"
RASPS,"RASP, to scrape with something rough [v]"
RASPY,"rough [adj RASPIER, RASPIEST]"
RATAL,an amount on which rates are assessed [n -S]
RATCH,"to wander, prowl [v -ED, -ING, -ES]"
RATED,"RATE, to estimate the value of [v]"
RATER,one that rates [n -S]
RATES,"RATE, to estimate the value of [v]"
RATHS,"RATH, an ancient hill fort [n]"
RATOO,"a local chief in Fiji, also RATU [n -S]"
RATOS,"RATO, a rocket-assisted aeroplane takeoff [n]"
RATTY,"infested with rats [adj RATTIER, RATTIEST, RATTILY]"
RATUS,"RATU, a local chief in Fiji, also RATOO [n]"
RAVED,"RAVE, to utter wildly or incoherently [v]"
RAVEL,"to entangle [v RAVELED or RAVELLED, RAVELING or RAVELLING, RAVELS]"
RAVEN,"of a black colour [adj RAVENER, RAVENEST] / to prey upon [v -ED, -ING, -S]"
RAVER,one that raves [n -S]
RAVES,"RAVE, to utter wildly or incoherently [v]"
RAVEY,"characteristic of a rave [adj RAVIER, RAVIEST]"
RAVIN,"to devour greedily, also RAVEN [v -ED, -ING, -S]"
RAWER,"RAW, uncooked [adj]"
RAWIN,a wind measurement made by tracking a balloon with radar [n -S]
RAWLY,"RAW, uncooked [adv]"
RAXED,"RAX, to stretch out [v]"
RAXES,"RAX, to stretch out [v]"
RAYED,"RAY, to emit a narrow beam of light [v]"
RAYON,a synthetic fibre [n -S]
RAZED,"RAZE, to demolish, also RASE [v]"
RAZEE,"to cut down by removing the upper deck, as a ship [v RAZEED, RAZEEING, RAZEES]"
RAZER,"one who razes, also RASER [n -S]"
RAZES,"RAZE, to demolish, also RASE [v]"
RAZOR,"to shave with a sharp instrument [v -ED, -ING, -S]"
REACT,"to respond to a stimulus [v -ED, -ING, -S]"
READD,"to add again [v -ED, -ING, -S]"
READS,"READ, to look at and understand written matter [v]"
READY,"prepared [adj READIER, READIEST, READILY] / to make ready [v READIED, READYING, READIES]"
REAIS,"REAL, a monetary unit in Brazil [n]"
REALM,"a kingdom, also REAME [n -S]"
REALS,"REAL, a monetary unit in Brazil [n]"
REAMS,"REAM, to enlarge the bore of with a reamer [v]"
REAMY,"creamy, frothy [adj REAMIER, REAMIEST]"
REANS,"REAN, a drainage channel, also REEN, RHINE, RHYNE [n]"
REAPS,"REAP, to cut for harvest [v]"
REARM,"to arm again [v -ED, -ING, -S]"
REARS,"REAR, to lift upright [v]"
REAST,"esp of horses, to be noisily uncooperative, also REEST [v -ED, -ING, -S]"
REATE,any of several kinds of water-crowfoot [n -S]
REBAR,a steel rod for use in reinforced concrete [n -S]
REBEC,"a medieval musical instrument like a mandolin or viol, also REBECK [n -S]"
REBEL,"to oppose authority [v REBELLED, REBELLING, REBELS]"
REBID,"to bid again [v REBID, REBIDDEN, REBIDDING, REBIDS]"
REBIT,"REBITE, in engraving, to freshen a plate by a new application of acid [v]"
REBOP,a type of music [n -S]
REBUT,"to prove to be false or erroneous [v REBUTTED, REBUTTING, REBUTS]"
REBUY,"to buy again [v REBOUGHT, REBUYING, REBUYS]"
RECAL,"to call back, also RECALL [v RECALLED, RECALLING, RECALS]"
RECCE,"to make a preliminary survey, also RECCY [v RECCED or RECCEED, RECCEING, RECCES]"
RECKS,"RECK, to be concerned about, also REAK, REKE [v]"
RECON,"to conduct a preliminary survey [v RECONNED, RECONNING, RECONS]"
RECUR,"to come around at intervals [v RECURRED, RECURRING, RECURS]"
RECUT,"to cut again [v RECUT, RECUTTING, RECUTS]"
REDDY,"somewhat red [adj REDDIER, REDDIEST]"
REDID,"REDO, to do again [v]"
REDIP,"to dip again [v REDIPPED, REDIPT, REDIPPING, REDIPS]"
REDLY,"RED, the colour of blood [adv]"
REDON,"to don again [v REDONNED, REDONNING, REDONS]"
REDOS,"REDO, to do again [v]"
REDOX,"a type of chemical reaction, in which one reagent is reduced while another is oxidised [n -ES]"
REDRY,"to dry again [v REDRIED, REDRYING, REDRIES]"
REDUB,"to dub again [v REDUBBED, REDUBBING, REDUBS]"
REDYE,"to dye again [v REDYED, REDYEING, REDYES]"
REECH,"to emit smoke, also REEK [v -ED, -ING, -ES]"
REEDS,"REED, to fasten or thatch with reed [v]"
REEDY,"abounding in reeds [adj REEDIER, REEDIEST, REEDILY]"
REEFS,"REEF, to reduce the area of a sail [v]"
REEFY,"abounding in ridges of rock [adj REEFIER, REEFIEST]"
REEKS,"REEK, to give off smoke, fumes or smell, also REECH [v]"
